id,city,area,geoarea,population,climate_class,builtup_area,income_group,orientation_entropy,walk_prox_poi_mean,walk_prox_poi_median,walk_prox_poi_range,walk_prox_poi_std,walk_prox_poi_iqr,walk_prox_pub_transport_mean,walk_prox_pub_transport_median,walk_prox_pub_transport_range,walk_prox_pub_transport_std,walk_prox_pub_transport_iqr,walk_circuity,walk_street_len_mean,walk_street_len_median,walk_street_len_range,walk_street_len_std,walk_street_len_iqr,walk_street_density,walk_street_len_total,walk_link_node_ratio,walk_intersection_density,walk_intersection_count,bike_prox_poi_mean,bike_prox_poi_median,bike_prox_poi_range,bike_prox_poi_std,bike_prox_poi_iqr,bike_slope_mean,bike_slope_median,bike_slope_range,bike_slope_std,bike_slope_iqr,bike_circuity,bike_street_len_mean,bike_street_len_median,bike_street_len_range,bike_street_len_std,bike_street_len_iqr,bike_street_density,bike_street_len_total,bike_link_node_ratio,bike_intersection_density,bike_intersection_count
146,manzini,34,SA,93405.68221,11,8.035808,Lower Middle,3.567702653,6.684347006,4,25,7.079636259,9,0.039368223,0,2,0.216278534,0,1.087780551,82.01554276,52.93117161,1185.662452,85.48824744,78.36506356,10893.59386,370382.1911,1.137906648,113.4411765,3857,21.56810557,26,27,7.163661934,10,0.053997356,0.036167617,0.87595443,0.067585581,0.076527669,1.081040773,78.30912605,48.72963939,1185.673385,84.70858749,78.68876844,20887.80777,710185.4642,1.123238649,78.82352941,2680
172,dodoma,80,SA,267332.8444,6,20.975232,Lower Middle,3.534521048,6.855901157,4,39,7.629809223,9,0.587385964,0,9,1.152041472,1,1.048702112,76.85112808,62.68444363,1950.856469,61.16843811,60.2529071,18178.17371,1454253.897,1.447166152,172.225,13778,24.1770428,23,41,11.36954112,21,0.025463091,0.017336326,0.709811329,0.035872072,0.034657744,1.046920813,76.86112017,62.84851488,1395.572634,60.74281854,60.21782625,35894.14312,2871531.45,1.444300331,155.525,12442
138,n_djamena,222,SA,1910082.319,6,63.27299,Low income,3.338689189,7.579915209,3,38,8.722644385,11,0.067355591,0,3,0.291132963,0,1.023561104,108.061294,82.85411229,1549.208733,75.61653271,73.12154179,14039.69325,3116811.902,1.574032856,84.63963964,18790,20.81744,18,48,13.65526438,22,0.017527852,0.01255426,0.980506022,0.025311879,0.024455512,1.022747654,108.6133131,83.13595009,1549.208733,74.96531026,72.71550121,26860.75727,5963088.113,1.57136,78.28378378,17379
149,serrekunda,181,SA,1313464.797,3,42.486979,Low income,3.419121184,4.861023492,3,30,5.341233611,6,0.042370886,0,3,0.251530432,0,1.026132084,87.74078069,73.86041648,2086.803162,67.24977456,58.23074014,14762.74992,2672057.735,1.476719552,116.6298343,21110,17.53736621,18,39,10.51949729,19,0.022476809,0.016032359,0.810648708,0.02876056,0.030872895,1.024456293,87.69796042,74.20913518,2086.803162,64.44428408,57.87419917,28896.2357,5230218.661,1.481030199,102.4917127,18551
169,mogadishu,186,SA,4798452.599,6,48.9711,Low income,3.405062422,4.553659395,3,23,4.863083767,6,0.124384236,0,3,0.395670701,0,1.030822153,76.76877064,52.81922915,1335.140083,64.14045188,69.4813969,18655.63674,3469948.433,1.626600985,152.1935484,28308,15.29132696,14,33,10.17804133,19,0.028282692,0.021632238,0.867417925,0.03276986,0.03411174,1.030192809,76.61120825,52.77588492,1335.140083,63.8311882,69.5381998,36615.21489,6810429.969,1.62517571,140.1451613,26067
141,brazzaville,180,SA,3190742.929,3,52.977319,Lower Middle,3.520417436,6.782103404,3,31,7.675093545,12,0.172272186,0,7,0.647785631,0,1.024506306,85.98452178,58.63017976,4282.343112,76.95600011,70.09564333,17044.52068,3068013.722,1.502525564,134.5777778,24224,19.81514504,19,45,13.42268661,23,0.043462944,0.025884341,0.932481865,0.054462072,0.049022202,1.023434681,85.86931712,59.02858463,4164.917294,70.67233678,70.20096369,33454.68595,6021843.471,1.50184896,113.6,20448
176,harare,603,SA,2076037.334,12,121.282388,Lower Middle,3.572827695,4.652571067,3,35,5.392507058,5,0.028743332,0,3,0.176029418,0,1.108640895,116.7645853,79.78705576,1712.380207,110.5855444,100.4205619,10662.94967,6429758.653,1.36647748,66.92537313,40356,14.76705877,13,41,8.874488157,10,0.021558658,0.01560834,0.579104301,0.027673866,0.029583871,1.092402464,115.3164381,79.31979091,1635.189543,107.98602,99.22248769,20598.80514,12421079.5,1.364266564,56.07131012,33811
137,bangui,122,SA,1270413.659,3,32.071466,Low income,3.50286744,4.009597208,2,25,5.507636991,4,0.012069216,0,1,0.10919501,0,1.046868942,121.2735028,90.12386612,1499.299968,105.5176135,98.08826462,9150.185192,1116322.593,1.368910862,55.30327869,6747,11.70246377,8,30,9.370197577,14,0.028034554,0.018676656,0.625321236,0.03795852,0.031053054,1.044655962,121.5346167,90.37371361,1499.299968,105.3928616,97.83366895,18199.31076,2220315.912,1.37,45.75409836,5582
155,monrovia,302,SA,2049817.566,2,66.280616,Low income,3.556230962,2.664144534,2,24,3.690711002,2,0.011323862,0,2,0.119515517,0,1.066274483,97.71679573,79.57924874,1345.91684,82.68863152,75.77107205,7323.582631,2211721.954,1.209079679,63.10264901,19057,9.215917804,8,31,6.566844405,7,0.027105037,0.017760345,0.971615355,0.038405661,0.033080369,1.064220464,97.03476471,79.22638217,1345.91684,82.05473909,75.52250209,14420.587,4355017.275,1.207687982,43.11589404,13021
161,maputo,570,SA,3533370.361,3,156.139726,Low income,3.501974571,4.860258683,2,42,7.287642994,6,2.420996353,0,93,5.091402821,3,1.034009483,87.7013483,70.1078354,3213.93526,73.31295428,64.80308908,14885.84218,8484930.045,1.477508093,119.2245614,67958,14.18816886,10,51,12.10936638,16,0.021964044,0.014884325,0.758587526,0.029661471,0.030342383,1.032045632,88.74349547,70.96536414,2657.728659,70.77231059,64.48983994,28666.01732,16339629.87,1.481731105,103.5017544,58996
152,bissau,83,SA,674444.3312,3,18.498227,Low income,3.566338043,5.281681434,1,30,8.44309129,5,0.024520915,0,2,0.162457185,0,1.056879714,108.4375786,80.9282946,1462.897566,92.56991663,87.52705774,8400.646152,697253.6307,1.369874305,57.97590361,4812,17.13384321,17,31,11.04035588,23,0.029061349,0.02102989,0.933603642,0.036107061,0.031280209,1.05427559,111.0926565,84.16426587,1462.897566,92.9187826,88.54966183,16168.66615,1341999.29,1.359889526,44.96385542,3732
157,lilongwe,136,SA,1018797.715,11,35.158678,Low income,3.557635571,2.618353345,1,26,4.09698345,3,0.096780578,0,5,0.43732557,0,1.057115838,98.40434743,74.81963517,996.4095117,83.23181911,79.5184814,14228.8345,1935121.492,1.343053173,108.8823529,14808,10.83196232,8,31,7.902330019,8,0.028198052,0.021828027,0.9302151,0.032699608,0.032969268,1.055196928,98.53592828,74.96148336,996.4095117,83.02424433,79.39305554,28169.68302,3831076.891,1.343638052,90.08088235,12251
131,luanda,936,SA,11672133.85,6,277.573199,Lower Middle,3.544399986,4.711464383,1,41,7.092066468,7,0.038039291,0,8,0.284335678,0,1.04500047,83.00628922,62.6256028,5189.278309,75.44342943,66.21749985,16782.87844,15708774.22,1.45707153,142.9786325,133828,14.39956409,11,47,12.38911933,19,0.024299349,0.017106146,0.97270134,0.031474976,0.034006579,1.039998958,82.66852074,62.84839275,5189.278309,73.14023402,66.06177802,32162.02902,30103659.16,1.457109046,124.5833333,116610
164,abuja,319,SA,1322229.41,3,72.945662,Lower Middle,3.566728269,2.665952951,1,14,3.206163086,5,0.011184674,0,2,0.122489977,0,1.09589863,95.69808648,66.74436386,2337.326383,101.3076779,76.60021778,12867.64271,4104778.023,1.243020144,109.9153605,35063,10.26415573,9,29,7.57685287,12,0.036369202,0.025575519,0.96467956,0.044636209,0.041646213,1.090314676,93.07604006,66.26313564,2337.326383,94.44242118,73.58478136,23278.63857,7425885.704,1.239168404,78.66144201,25093
